date,change_in_mobility,state_id,country
2020-05-30,-2.43,BW,Germany
2020-05-31,-0.84,BW,Germany
2020-06-01,20.77,BW,Germany
2020-06-02,-9.29,BW,Germany
2020-06-03,-13.01,BW,Germany
2020-06-04,-18.51,BW,Germany
2020-06-05,-14.77,BW,Germany
2020-06-06,-15.84,BW,Germany
2020-06-07,-20.25,BW,Germany
2020-06-08,-13.75,BW,Germany
2020-06-09,-15.95,BW,Germany
2020-06-10,-12.7,BW,Germany
2020-06-11,-5.44,BW,Germany
2020-06-12,-8.85,BW,Germany
2020-06-13,-6.97,BW,Germany
2020-06-14,-27.92,BW,Germany
2020-06-15,-11.04,BW,Germany
2020-06-16,-7.41,BW,Germany
2020-06-17,-10.12,BW,Germany
2020-06-18,-6.03,BW,Germany
2020-06-19,-4.18,BW,Germany
2020-06-20,-2.85,BW,Germany
2020-06-21,0.57,BW,Germany
2020-06-22,-6.51,BW,Germany
2020-06-23,-2.37,BW,Germany
2020-06-24,-2.21,BW,Germany
2020-06-25,-8.31,BW,Germany
2020-06-26,-7.73,BW,Germany
2020-06-27,-2.05,BW,Germany
2020-06-28,-9.69,BW,Germany
2020-06-29,-6.65,BW,Germany
2020-06-30,-1.55,BW,Germany
2020-07-01,0.65,BW,Germany
2020-07-02,-4.22,BW,Germany
2020-07-03,-2.22,BW,Germany
2020-07-04,0.13,BW,Germany
2020-07-05,4.33,BW,Germany
2020-07-06,-1.56,BW,Germany
2020-07-07,2.41,BW,Germany
2020-07-08,-0.69,BW,Germany
2020-07-09,-0.7,BW,Germany
2020-07-10,-2.8,BW,Germany
2020-07-11,-1.22,BW,Germany
2020-07-12,9.22,BW,Germany
2020-07-13,-0.03,BW,Germany
2020-07-14,2.08,BW,Germany
2020-07-15,-5.22,BW,Germany
2020-07-16,-7.44,BW,Germany
2020-07-17,-4.39,BW,Germany
2020-07-18,0.43,BW,Germany
2020-07-19,8.95,BW,Germany
2020-07-20,-0.62,BW,Germany
2020-07-21,-10.26,BW,Germany
2020-07-22,0.1,BW,Germany
2020-07-23,-0.4,BW,Germany
2020-07-24,-2.21,BW,Germany
2020-07-25,1.28,BW,Germany
2020-07-26,-0.14,BW,Germany
2020-07-27,1.51,BW,Germany
2020-07-28,2.79,BW,Germany
2020-07-29,3.2,BW,Germany
2020-07-30,-2.58,BW,Germany
2020-07-31,-4.83,BW,Germany
2020-08-01,3.07,BW,Germany
2020-08-02,-13.76,BW,Germany
2020-08-03,-1.87,BW,Germany
2020-08-04,0.03,BW,Germany
2020-08-05,6.11,BW,Germany
2020-08-06,5.03,BW,Germany
2020-08-07,2.42,BW,Germany
2020-08-08,1.53,BW,Germany
2020-08-09,-3.73,BW,Germany
2020-08-10,-0.74,BW,Germany
2020-08-11,-1.27,BW,Germany
2020-08-12,-2.31,BW,Germany
2020-08-13,-5.29,BW,Germany
2020-08-14,-5.8,BW,Germany
2020-08-15,-1.85,BW,Germany
2020-08-16,-4.13,BW,Germany
2020-08-17,-5.06,BW,Germany
2020-08-18,-3.16,BW,Germany
2020-08-19,-2.13,BW,Germany
2020-08-20,-3.23,BW,Germany
2020-08-21,-4.91,BW,Germany
2020-08-22,-7.19,BW,Germany
2020-08-23,-7.15,BW,Germany
2020-08-24,-3.48,BW,Germany
2020-08-25,-6.44,BW,Germany
2020-08-26,-5.63,BW,Germany
2020-08-27,-2.67,BW,Germany
2020-08-28,-7.67,BW,Germany
2020-08-29,-4.16,BW,Germany
2020-08-30,-25.28,BW,Germany
2020-08-31,-0.04,BW,Germany
2020-09-01,-9.05,BW,Germany
2020-09-02,-7.88,BW,Germany
2020-09-03,-6.82,BW,Germany
2020-09-04,-5.44,BW,Germany
2020-09-05,0.33,BW,Germany
2020-09-06,0.0,BW,Germany
2020-09-07,-0.76,BW,Germany
2020-09-08,0.02,BW,Germany
2020-09-09,-0.17,BW,Germany
2020-09-10,-0.78,BW,Germany
2020-09-11,-0.72,BW,Germany
2020-09-12,7.16,BW,Germany
2020-09-13,12.71,BW,Germany
2020-09-14,9.37,BW,Germany
2020-09-15,9.01,BW,Germany
2020-09-16,5.91,BW,Germany
2020-09-17,6.05,BW,Germany
2020-09-18,5.96,BW,Germany
2020-09-19,8.25,BW,Germany
2020-09-20,12.76,BW,Germany
2020-09-21,9.74,BW,Germany
2020-09-22,8.25,BW,Germany
2020-09-23,5.25,BW,Germany
2020-09-24,7.3,BW,Germany
2020-09-25,2.61,BW,Germany
2020-09-26,-4.26,BW,Germany
2020-09-27,-4.33,BW,Germany
2020-09-28,8.42,BW,Germany
2020-09-29,1.09,BW,Germany
2020-09-30,6.47,BW,Germany
2020-10-01,5.1,BW,Germany
2020-10-02,10.55,BW,Germany
2020-10-03,7.43,BW,Germany
2020-10-04,4.19,BW,Germany
2020-10-05,5.84,BW,Germany
2020-10-06,5.37,BW,Germany
2020-10-07,-0.93,BW,Germany
2020-10-08,-1.26,BW,Germany
2020-10-09,4.0,BW,Germany
2020-10-10,1.65,BW,Germany
2020-10-11,-7.95,BW,Germany
2020-10-12,0.13,BW,Germany
2020-10-13,5.58,BW,Germany
2020-10-14,2.76,BW,Germany
2020-10-15,0.45,BW,Germany
2020-10-16,2.81,BW,Germany
2020-10-17,-0.26,BW,Germany
2020-10-18,-5.42,BW,Germany
2020-10-19,2.62,BW,Germany
2020-10-20,2.92,BW,Germany
2020-10-21,1.69,BW,Germany
2020-10-22,0.84,BW,Germany
2020-10-23,-0.12,BW,Germany
2020-10-24,-0.57,BW,Germany
2020-10-25,3.53,BW,Germany
2020-10-26,-11.03,BW,Germany
2020-10-27,-4.92,BW,Germany
2020-10-28,-7.44,BW,Germany
2020-10-29,-9.52,BW,Germany
